date,time,replicate,Temp_deg_C,SpCond_uS/cm,Salinity_PSU,TDS_mg/l,HDO_mg/l,HDO_%Sat,pH_units,Depth_m,field_chl_a,lab_chl_a,DEPTH,error
7/9/2024,14:23,3,30.74,647.2,0.31,414.2,7.03,94.4,7.55,0.3,88.42,22.20992,0.3,66.21008
7/9/2024,14:23,4,30.74,647.9,0.31,414.6,7.04,94.5,7.55,0.31,97.68,22.20992,0.3,75.47008
7/9/2024,14:23,5,30.73,646.8,0.31,413.9,7.06,94.7,7.55,0.32,95.43,22.20992,0.3,73.22008
7/9/2024,14:23,6,30.74,646.8,0.31,413.9,7.06,94.8,7.54,0.32,88.21,22.20992,0.3,66.00008
7/9/2024,14:23,1,30.74,647.9,0.31,414.6,7,94,7.56,0.3,76.84,21.63392,0.3,55.20608
7/9/2024,14:23,2,30.74,647.3,0.31,414.3,7.02,94.2,7.55,0.3,95.57,21.63392,0.3,73.93608
7/9/2024,14:23,3,30.74,647.2,0.31,414.2,7.03,94.4,7.55,0.3,88.42,21.63392,0.3,66.78608
7/9/2024,14:23,4,30.74,647.9,0.31,414.6,7.04,94.5,7.55,0.31,97.68,21.63392,0.3,76.04608
7/9/2024,14:23,5,30.73,646.8,0.31,413.9,7.06,94.7,7.55,0.32,95.43,21.63392,0.3,73.79608
7/9/2024,14:23,6,30.74,646.8,0.31,413.9,7.06,94.8,7.54,0.32,88.21,21.63392,0.3,66.57608
7/9/2024,14:23,1,30.74,647.9,0.31,414.6,7,94,7.56,0.3,76.84,20.11584,0.3,56.72416
7/9/2024,14:23,2,30.74,647.3,0.31,414.3,7.02,94.2,7.55,0.3,95.57,20.11584,0.3,75.45416
7/9/2024,14:23,3,30.74,647.2,0.31,414.2,7.03,94.4,7.55,0.3,88.42,20.11584,0.3,68.30416
7/9/2024,14:23,4,30.74,647.9,0.31,414.6,7.04,94.5,7.55,0.31,97.68,20.11584,0.3,77.56416
7/9/2024,14:23,5,30.73,646.8,0.31,413.9,7.06,94.7,7.55,0.32,95.43,20.11584,0.3,75.31416
7/9/2024,14:23,6,30.74,646.8,0.31,413.9,7.06,94.8,7.54,0.32,88.21,20.11584,0.3,68.09416
7/9/2024,14:24,1,30.73,646.7,0.31,413.9,7.06,94.8,7.51,0.48,98.32,22.20992,0.45,76.11008
7/9/2024,14:24,2,30.73,647.9,0.31,414.6,7.06,94.8,7.51,0.47,87.34,22.20992,0.45,65.13008
7/9/2024,14:24,3,30.73,648.1,0.31,414.7,7.06,94.8,7.5,0.49,92.79,22.20992,0.45,70.58008
7/9/2024,14:24,4,30.71,647.3,0.31,414.2,7.07,94.9,7.5,0.49,94.3,22.20992,0.45,72.09008
7/9/2024,14:24,5,30.73,647.8,0.31,414.6,7.07,94.9,7.5,0.45,86.36,22.20992,0.45,64.15008
7/9/2024,14:24,6,30.73,646.9,0.31,414,7.07,94.8,7.5,0.46,89.98,22.20992,0.45,67.77008
7/9/2024,14:24,1,30.73,646.7,0.31,413.9,7.06,94.8,7.51,0.48,98.32,21.63392,0.45,76.68608
7/9/2024,14:24,2,30.73,647.9,0.31,414.6,7.06,94.8,7.51,0.47,87.34,21.63392,0.45,65.70608
7/9/2024,14:24,3,30.73,648.1,0.31,414.7,7.06,94.8,7.5,0.49,92.79,21.63392,0.45,71.15608
7/9/2024,14:24,4,30.71,647.3,0.31,414.2,7.07,94.9,7.5,0.49,94.3,21.63392,0.45,72.66608
7/9/2024,14:24,5,30.73,647.8,0.31,414.6,7.07,94.9,7.5,0.45,86.36,21.63392,0.45,64.72608
7/9/2024,14:24,6,30.73,646.9,0.31,414,7.07,94.8,7.5,0.46,89.98,21.63392,0.45,68.34608
7/9/2024,14:24,1,30.73,646.7,0.31,413.9,7.06,94.8,7.51,0.48,98.32,20.11584,0.45,78.20416
7/9/2024,14:24,2,30.73,647.9,0.31,414.6,7.06,94.8,7.51,0.47,87.34,20.11584,0.45,67.22416
7/9/2024,14:24,3,30.73,648.1,0.31,414.7,7.06,94.8,7.5,0.49,92.79,20.11584,0.45,72.67416
7/9/2024,14:24,4,30.71,647.3,0.31,414.2,7.07,94.9,7.5,0.49,94.3,20.11584,0.45,74.18416
7/9/2024,14:24,5,30.73,647.8,0.31,414.6,7.07,94.9,7.5,0.45,86.36,20.11584,0.45,66.24416
7/9/2024,14:24,6,30.73,646.9,0.31,414,7.07,94.8,7.5,0.46,89.98,20.11584,0.45,69.86416
7/9/2024,14:25,1,30.56,643.2,0.31,411.6,7.08,94.7,7.49,0.6,58.27,22.20992,0.6,36.06008
7/9/2024,14:25,2,30.49,640.9,0.3,410.2,6.98,93.3,7.48,0.63,49.94,22.20992,0.6,27.73008
7/9/2024,14:25,3,30.43,641.3,0.3,410.4,6.94,92.6,7.48,0.65,51.09,22.20992,0.6,28.88008
7/9/2024,14:25,4,30.54,641.7,0.3,410.7,6.9,92.3,7.47,0.61,48.53,22.20992,0.6,26.32008
7/9/2024,14:25,5,30.5,642.4,0.31,411.1,6.89,92.1,7.47,0.63,41.03,22.20992,0.6,18.82008
7/9/2024,14:25,6,30.53,645.2,0.31,412.9,6.84,91.5,7.46,0.58,39.6,22.20992,0.6,17.39008
7/9/2024,14:25,1,30.56,643.2,0.31,411.6,7.08,94.7,7.49,0.6,58.27,21.63392,0.6,36.63608
7/9/2024,14:25,2,30.49,640.9,0.3,410.2,6.98,93.3,7.48,0.63,49.94,21.63392,0.6,28.30608
7/9/2024,14:25,3,30.43,641.3,0.3,410.4,6.94,92.6,7.48,0.65,51.09,21.63392,0.6,29.45608
7/9/2024,14:25,4,30.54,641.7,0.3,410.7,6.9,92.3,7.47,0.61,48.53,21.63392,0.6,26.89608
7/9/2024,14:25,5,30.5,642.4,0.31,411.1,6.89,92.1,7.47,0.63,41.03,21.63392,0.6,19.39608
7/9/2024,14:25,6,30.53,645.2,0.31,412.9,6.84,91.5,7.46,0.58,39.6,21.63392,0.6,17.96608
7/9/2024,14:25,1,30.56,643.2,0.31,411.6,7.08,94.7,7.49,0.6,58.27,20.11584,0.6,38.15416
7/9/2024,14:25,2,30.49,640.9,0.3,410.2,6.98,93.3,7.48,0.63,49.94,20.11584,0.6,29.82416
7/9/2024,14:25,3,30.43,641.3,0.3,410.4,6.94,92.6,7.48,0.65,51.09,20.11584,0.6,30.97416
7/9/2024,14:25,4,30.54,641.7,0.3,410.7,6.9,92.3,7.47,0.61,48.53,20.11584,0.6,28.41416
7/9/2024,14:25,5,30.5,642.4,0.31,411.1,6.89,92.1,7.47,0.63,41.03,20.11584,0.6,20.91416
7/9/2024,14:25,6,30.53,645.2,0.31,412.9,6.84,91.5,7.46,0.58,39.6,20.11584,0.6,19.48416
7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,22.20992,0.75,2.20008
7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,22.20992,0.75,4.68008
7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,22.20992,0.75,1.36008
7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,22.20992,0.75,4.88008
7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,22.20992,0.75,3.91008
7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,22.20992,0.75,1.33992
7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,21.63392,0.75,2.77608
7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,21.63392,0.75,5.25608
7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,21.63392,0.75,1.93608
7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,21.63392,0.75,5.45608
7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,21.63392,0.75,4.48608
7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,21.63392,0.75,0.76392
7/9/2024,14:26,1,30.12,637.3,0.3,407.8,6.6,87.7,7.43,0.77,24.41,20.11584,0.75,4.29416
7/9/2024,14:26,2,29.86,639.7,0.3,409.4,6.57,86.9,7.42,0.78,26.89,20.11584,0.75,6.77416
7/9/2024,14:26,3,29.71,634.7,0.3,406.2,6.48,85.5,7.41,0.75,23.57,20.11584,0.75,3.45416
7/9/2024,14:26,4,29.71,637.8,0.3,408.2,6.42,84.7,7.41,0.78,27.09,20.11584,0.75,6.97416
7/9/2024,14:27,5,29.67,634.2,0.3,405.9,6.38,84.1,7.41,0.78,26.12,20.11584,0.75,6.00416
7/9/2024,14:27,6,29.61,635.8,0.3,406.9,6.3,82.9,7.4,0.75,20.87,20.11584,0.75,0.75416
